적재_연월일,정류장_ID,정류장_명,행정구역코드
202306,270051879,양청지하도,
202306,270051880,홈플러스앞,
202306,270051881,양청리,
202306,270051882,양천리,
202306,270051883,오창호수공원,
202306,270051884,구룡리,
202306,270051885,쌍용스윗닷홈,
202306,270051886,한라비발디후문,
202306,270051887,한라비발디정문,
202306,270051888,대우이안아파트,
202306,270051889,각리초등학교후문,
202306,270051890,대원칸타빌,
202306,270051891,중앙하이츠빌후문,
202306,270051892,코아루아파트후문,
202306,270051893,우림루미아트후문,
202306,270051894,중앙하이츠빌정문,
202306,270054158,저산삼거리,
202306,270054160,행산리,
202306,270054291,오송삼거리,
202306,270054294,만수초,
202306,270054295,만수리,
202306,270054296,만수공원,
202306,270054297,진흥아파트 앞,
202306,270054299,오송휴먼시아후문,
202306,270054301,오송삼거리,
202306,270054302,진흥아파트 앞,
202306,270054303,송절중학교,
202306,270054311,고속버스터미널,
202306,270054312,고속버스터미널,
202306,270054324,월곡리 충청대학,
202306,270054346,오송역,
202306,270054349,만수초,
202306,270054350,롯데캐슬,
202306,270054351,만수공원,
202306,270054352,서청주농협,
202306,270054358,오송중학교,
202306,270054361,종합사회복지관,
202306,270054362,종합사회복지관,
202306,270054363,한국보건복지인력개발원,
202306,270054364,한국보건복지인력개발원,
202306,270054365,국책기관,
202306,270054366,국책기관,
202306,270054394,궁평2리,
202306,270054395,궁평2리,
202306,270054429,오산,
202306,270054438,송절동,
202306,270054509,송절동,
202306,270054512,바이오랜드,
202306,270054513,서흥캅셀,
202306,270054516,국제공항사거리,
202306,270054517,국제공항사거리,
202306,270054519,차량등록사업소,
202306,270054579,오송역,
202306,270054609,청주시장애인종합복지관,
202306,270054620,보건의료행정타운,
202306,270054637,오송고등학교,
202306,270054638,오송고등학교,
202306,270054639,연제리.분토골,
202306,270054640,연제리.분토골,
202306,270054641,오송역종점,
202306,270054647,연제(분토골)리,
202306,270054648,연제(분토골)리,
202306,270054649,남촌,
202306,270054650,오창산업단지입구,
202306,270054656,차량등록사업소,
202306,270054658,송절동,
202306,270054667,첨단의료산업진흥재단,
202306,270054668,남촌리,
202306,270054669,남촌,
202306,270054675,탑리,
202306,270054676,탑리,
202306,270054697,갈원초등학교,
202306,270054698,농협가마지점,
202306,270054700,비룡2리,
202306,270054720,푸르지오아파트,
202306,270054723,내곡초등학교,
202306,270054785,만수리.한전앞,
202306,270054786,보건의료행정타운,
202306,270054787,궁평2리,
202306,270054805,서청주농협,
202306,271000007,제2운천교,
202306,271000008,제2운천교,
202306,271000016,신봉동.대성중학교,
202306,271000017,우림필유아파트,
202306,271000018,신봉동,
202306,271000021,삼성아파트,
202306,271000022,신봉삼성아파트,
202306,271000026,신봉동,
202306,271000027,송절동,
202306,271000028,차량등록사업소,
202306,271000029,차량등록사업소,
202306,271000034,황새울,
202306,271000035,황새울,
202306,271000039,충북공업고등학교,
202306,186005223,신동,
202306,186005224,신동천교,
202306,186005225,신동천교,
202306,187000270,신탄진역,2505058
202306,187000280,신탄진역,2505058
202306,187001001,갈전동,
202306,187001002,갈전동,
202306,187001005,동아연필,
202306,187001006,동아연필,
202306,187001007,공구백화점,
202306,187001008,공구백화점,
202306,187001009,제일사료,
202306,187001010,부국레미콘,
202306,187001011,제일사료,
202306,187001012,부국레미콘,
202306,187001013,유니레버,
202306,187001014,유니레버,
202306,187001015,대화동주민센터,
202306,187001016,동아교재,
202306,187001017,세원화성,
202306,187001018,대화동주민센터,
202306,187001019,세원화성,
202306,187001020,동아교재,
202306,187001021,원명학교,
202306,187001022,원명학교,
202306,187001024,대화동육교,
202306,187001025,대화동육교,
202306,187001026,대화공단삼거리,
202306,187001027,체육재활원,
202306,187001028,대덕구보건소,2502054
202306,187001029,대덕구보건소,2502054
202306,187001033,신탄중앙중학교,2502054
202306,187001034,신탄중앙중학교,2502054
202306,187001035,덕암동,
202306,187001036,목상동주민센터,2502054
202306,187001037,목상동주민센터,2502054
202306,187001040,한국타이어,2502054
202306,187001041,한국타이어후문,2502054
202306,187001042,한국타이어후문,2502054
202306,187001043,기흥기계,2502054
202306,187001044,대덕경찰서,2502054
202306,187001045,신구교,2502054
202306,187001046,신구교,2502054
202306,187001047,효성신탄진공장,2502054
202306,187001048,금강로하스대청공원,2502054
202306,187001049,금강로하스대청공원,2502054
202306,187001050,대청댐,2502054
202306,187001051,대청댐,2502054
202306,187001053,대청댐(종점),2502054
202306,187001054,벌말,2502054
202306,187001055,벌말,2502054
202306,187001056,숯골,2502054
202306,187001057,숯골,2502054
202306,187001058,휴양소,2502054
202306,187001059,미호교,2502054
202306,187001060,중리주공1단지,
202306,187001061,삼정하이츠타운,
202306,187001062,법동주공3단지,
202306,187001063,영진아파트,
202306,187001064,유원아파트,
202306,187001065,안산도서관,
202306,187001066,대전지방국세청,
202306,187001067,대전지방국세청,
202306,187001068,동부소방서,
202306,187001069,대전중앙병원,
202306,187001070,동부경찰서,
202306,187001071,보람아파트,
202306,187001072,한마음아파트,
202306,187001073,보람아파트,
202306,187001074,소월아파트,
202306,187001075,소월아파트,
202306,187001076,그린아파트,
202306,187001077,그린아파트,
202306,187001078,그린아파트,
202306,187001079,가양중학교입구,
202306,187001080,한신휴플러스,
202306,187001081,비래검문소,
202306,187001082,비래검문소,
202306,187001083,비래동노인회관,
202306,187001084,만남웨딩홀,
202306,187001085,만남웨딩홀,
202306,187001086,삼호아파트,
202306,187001087,삼호아파트,
202306,187001088,비래동,
202306,187001089,비래동,
202306,187001090,비래동종점,
202306,187001091,비래동종점,
202306,187001092,비래동종점,
202306,187001093,금성백조아파트,
202306,187001094,비래동종점,
202306,187001095,금성백조아파트,
202306,187001096,가양비래공원,
202306,187001097,명석고등학교,
202306,187001098,가양비래공원,
202306,187001099,삼정취수장,2502054
202306,187001100,삼정취수장,2502054
202306,187001101,삼정동,
202306,187001455,대평동해들마을,
202306,187001456,대평동해들마을,
202306,187001480,오송역,
202306,270000005,청주대교,
202306,270000007,시청,
202306,270000008,시청,
202306,270000009,상당공원,
202306,270000010,상당공원,
202306,270000011,방아다리,
202306,270000013,용두사지철당간,
202306,270000016,육거리,
202306,270000017,육거리시장,
202306,270000018,육거리시장,
202306,270000019,육거리.산림조합,
202306,270000021,석교동,
202306,270000022,석교동,
202306,270000023,서운동,
202306,270000024,지하상가,
202306,270000026,도청,
202306,270000027,도청,
202306,270000047,금석교,
202306,270000048,금석교,
202306,270000061,한국병원,
202306,270000062,청남초등학교,
202306,270000063,영운동행정복지센터,
202306,270000064,영운동행정복지센터,
202306,270000065,영운동,
202306,270000070,현대3차아파트,
202306,270000071,현대3차아파트,
202306,270000074,강변뜨란채아파트,
202306,270000080,용암주공아파트,
202306,270000081,건영APT.원봉초,
202306,270000082,건영APT.원봉초,
202306,270000083,용암초등학교,
202306,270000087,용성초등학교후문,
202306,270000088,용성초등학교후문,
202306,270000090,부영6단지아파트,
202306,270000091,덕일마이빌,
202306,270000092,부영2차아파트,
202306,270000093,부영2차아파트,
202306,270000097,청주농협용암지점,
202306,270000098,청주농협용암지점,
202306,270000110,동부종점,
202306,270000135,용암효성아파트,
202306,270000136,용암효성아파트,
202306,270000138,용암태산아파트,
202306,270000139,용암소라아파트,
202306,270000140,용암세원아파트,
202306,270000141,상당초등학교,
202306,270000142,용암삼일아파트,
202306,270000143,용암덕성아파트,
202306,270000560,양절,
202306,270000561,양절,
202306,270000562,상발리,
202306,270000563,상발,
202306,270000564,상발,
202306,270000575,국립현대미술관,
202306,270000583,충북경제자유구역청,
202306,270000584,충북경제자유구역청,
202306,270000635,오송역,
202306,270000637,오송역5,
202306,270004880,용두사지철당간,
202306,270005000,육거리시장,
202306,270005010,육거리,
202306,270005260,서운동,
202306,270006130,국제공항입구,
202306,270006390,청주여고,
202306,270006420,청주대학교앞,
202306,270006430,청주대학교,
202306,270006500,지하상가,
202306,270006520,지하상가,
202306,270006670,율량중입구,
202306,270006680,율량중입구앞,
202306,270006690,우암초등학교앞,
202306,270006700,우암초등학교,
202306,270006870,신화아파트,
202306,270006880,신화아파트앞,
202306,270006920,시청,
202306,270006930,시청앞,
202306,270006990,청주성모병원,
202306,270007000,청주성모병원앞,
202306,270007090,상당공원,
202306,270007100,상당공원,
202306,270007250,방아다리,
202306,270007270,밤고개,
202306,270007280,밤고개,
202306,270007290,문화산업단지앞,
202306,270007300,문화산업단지,
202306,270007480,도청,
202306,270007500,덕성초등학교앞,
202306,270007510,덕성초등학교,
202306,270007720,발산교,
202306,270007750,국제공항입구,
202306,270007760,오근장역앞,
202306,270007770,외평동,
202306,270007780,오근장동주민센터앞,
202306,270007790,북일초등학교,
202306,270007800,북일초등학교,
202306,270007810,오근장동주민센터,
202306,270007820,외평동,
202306,276001006,옥각리,
202306,276001007,옥각리,
202306,276001008,서정리,
202306,276001009,서정리,
202306,276001010,삼양삼거리,
202306,276001011,삼양삼거리,
202306,276001012,삼양3리,
202306,276001013,옥천기점,
202306,276001014,삼양3리,
202306,276001015,가화리,
202306,276001016,옥천기점,
202306,276001017,옥천시외버스터미널,
202306,276001018,옥천시외버스터미널,
202306,276001019,옥천버스앞,
202306,276001020,옥천버스앞,
202306,276001021,옥천농협앞,
202306,276001022,옥천교육청,
202306,276001023,옥천종합상가,
202306,276001024,옥천종합상가,
202306,276001025,옥천중학교,
202306,276011001,증약,
202306,276011002,증약,
202306,276011003,자모리,
202306,276011004,자모리,
202306,276011005,비야리,
202306,276011006,비야리,
202306,276011007,새마을,
202306,276011008,새마을,
202306,276011009,항곡리종점,
202306,276011010,군북면사무소,
202306,276011011,군북면사무소,
202306,276011012,와정.자괏,
202306,276011013,새거리,
202306,276011014,와정.자괏,
202306,276011015,백석리,
202306,276011016,금오골,
202306,276011017,백석리,
202306,276011018,한저골,
202306,276011019,한저골,
202306,276011020,방아실,
202306,276011021,방아실종점,
202306,276011022,방아실,
202306,283000018,청주체육관,
202306,283000019,사직사거리.시립미술관,
202306,283000026,청주체육관,
202306,283000028,사직사거리.시립미술관,
202306,283000034,청주농협,
202306,283000035,청주농협,
202306,283000036,서원대학교,
202306,283000037,서원대학교,
202306,283000038,모충초.새마을금고,
202306,283000039,모충초.새마을금고,
202306,283000040,모충주공아파트,
